tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters
2957.5141441633837,2697.3459266749414,6127.733010780231,0.19297052816388066,70.6931390480176,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2878.9693013599995,1001.7680196075744,9999.573761113536,0.01884347841156514,15.761166399439745,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.9959774785852,4281.138013591858,4964.969942588472,0.19974149453084555,97.8713195622285,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2997.0401072341992,1000.316918118122,210.29539692181606,0.010372090435058878,34.27591308757779,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2997.3272545353248,5387.550344317112,745.5045634224698,0.19928998314695967,34.724801295843946,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2873.1716005084236,4471.069732632078,386.7032505050993,0.08460468056580708,90.680207165078,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1720.5690072733798,8420.466376884677,512.4535719817322,0.06512979903476665,89.15516733158384,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2479.78766758469,9011.090194806166,216.28239215795838,0.16295237727255305,94.4587668381444,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1793.1253410305947,6492.832331173739,9624.01214431827,0.1998930148266497,40.572738317465365,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2998.8824058184778,1000.3111477857256,9983.81223962539,0.0018126356572128743,64.60745733630318,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2804.9847384751165,5514.390033092674,966.4112730489123,0.14781569572568526,19.10989258639769,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2664.999548356601,2035.3649190169062,4911.437678904747,0.14996597536961773,58.69958645668219,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.9338439642156,9266.843799276096,351.99343400397265,0.12200422996329983,84.71942581252348,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2734.5171317557574,1553.9964459535058,6103.57924543264,0.19455682966788232,65.5136839442292,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2994.0239927757607,1448.072053000249,9889.283036568984,0.022734432152978046,48.49370828175558,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2545.281490678765,1037.1001266722014,101.90999938905588,0.023735702556425375,99.99411137966774,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2998.876703775376,6009.553963002887,2464.4012512013533,0.07479906749433737,97.37614054144336,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
