,mode,variable,value
364,photo,metallicity,0.8
365,photo,metallicity,0.0
366,photo,metallicity,0.98
367,photo,metallicity,0.6
368,photo,metallicity,0.98
369,photo,metallicity,0.0
370,photo,metallicity,0.6
371,photo,metallicity,0.0
372,photo,metallicity,0.8
373,photo,metallicity,0.8
374,photo,metallicity,0.8
375,photo,metallicity,0.0
376,photo,metallicity,0.8
377,photo,metallicity,0.98
378,photo,metallicity,0.8
379,photo,metallicity,0.8
380,spectro,metallicity,0.6
381,spectro,metallicity,0.0
382,spectro,metallicity,0.6
383,spectro,metallicity,0.0
384,spectro,metallicity,0.6
385,spectro,metallicity,0.0
386,spectro,metallicity,0.0
387,spectro,metallicity,0.0
388,spectro,metallicity,0.6
389,spectro,metallicity,0.0
390,spectro,metallicity,0.0
391,spectro,metallicity,0.0
392,spectro,metallicity,0.6
393,spectro,metallicity,0.6
394,spectro,metallicity,0.0
395,spectro,metallicity,0.0
396,spectro,metallicity,1.5
397,spectro,metallicity,0.0
398,spectro,metallicity,0.6
399,spectro,metallicity,0.0
400,photo+spectro,metallicity,0.0
401,photo+spectro,metallicity,0.0
402,photo+spectro,metallicity,0.0
403,photo+spectro,metallicity,0.0
404,photo+spectro,metallicity,0.0
405,photo+spectro,metallicity,0.0
406,photo+spectro,metallicity,0.0
407,photo+spectro,metallicity,0.8
408,photo+spectro,metallicity,0.6
409,photo+spectro,metallicity,0.0
410,photo+spectro,metallicity,0.0
411,photo+spectro,metallicity,0.0
412,photo+spectro,metallicity,0.0
413,photo+spectro,metallicity,0.0
414,photo+spectro,metallicity,0.0
415,photo+spectro,metallicity,0.0
416,photo+spectro,metallicity,0.0
417,photo+spectro,metallicity,0.0
418,photo+spectro,metallicity,0.0
419,photo+spectro,metallicity,0.0
420,photo,qpah,0.5519999999999999
421,photo,qpah,0.4124293785310734
422,photo,qpah,0.0
423,photo,qpah,4.319148936170214
424,photo,qpah,0.0
425,photo,qpah,0.0
426,photo,qpah,0.0
427,photo,qpah,0.0
428,photo,qpah,0.0
429,photo,qpah,0.292
430,photo,qpah,0.0
431,photo,qpah,0.0
432,photo,qpah,0.0
433,photo,qpah,0.0
434,photo,qpah,1.3829787234042556
435,photo,qpah,0.0
436,photo,qpah,0.0
437,photo,qpah,0.0
438,photo,qpah,0.0
439,photo,qpah,0.0
440,spectro,qpah,0.5519999999999999
441,spectro,qpah,0.0
442,spectro,qpah,2.765957446808511
443,spectro,qpah,4.319148936170214
444,spectro,qpah,1.3829787234042556
445,spectro,qpah,2.765957446808511
446,spectro,qpah,2.765957446808511
447,spectro,qpah,1.3829787234042556
448,spectro,qpah,4.319148936170214
449,spectro,qpah,0.812
450,spectro,qpah,4.319148936170214
451,spectro,qpah,4.319148936170214
452,spectro,qpah,0.0
453,spectro,qpah,4.319148936170214
454,spectro,qpah,4.319148936170214
455,spectro,qpah,2.765957446808511
456,spectro,qpah,2.765957446808511
457,spectro,qpah,1.3829787234042556
458,spectro,qpah,1.3829787234042556
459,spectro,qpah,4.319148936170214
460,photo+spectro,qpah,0.0
461,photo+spectro,qpah,0.4124293785310734
462,photo+spectro,qpah,0.0
463,photo+spectro,qpah,4.319148936170214
464,photo+spectro,qpah,0.0
465,photo+spectro,qpah,0.0
466,photo+spectro,qpah,0.0
467,photo+spectro,qpah,4.319148936170214
468,photo+spectro,qpah,1.3829787234042556
469,photo+spectro,qpah,0.0
470,photo+spectro,qpah,1.3829787234042556
471,photo+spectro,qpah,0.0
472,photo+spectro,qpah,1.3829787234042556
473,photo+spectro,qpah,0.0
474,photo+spectro,qpah,0.0
475,photo+spectro,qpah,0.0
476,photo+spectro,qpah,0.0
477,photo+spectro,qpah,0.0
478,photo+spectro,qpah,0.0
479,photo+spectro,qpah,0.0
480,photo,umin,4.0
481,photo,umin,0.0
482,photo,umin,4.0
483,photo,umin,0.0
484,photo,umin,4.0
485,photo,umin,0.0
486,photo,umin,4.0
487,photo,umin,1.0
488,photo,umin,0.0
489,photo,umin,4.0
490,photo,umin,4.0
491,photo,umin,1.0
492,photo,umin,0.0
493,photo,umin,0.0
494,photo,umin,0.0
495,photo,umin,1.0
496,photo,umin,0.0
497,photo,umin,1.0
498,photo,umin,0.0
499,photo,umin,0.0
