sfh.sfr,stellar.m_star
2.5849543242771525e-15,1.319272053145475e-07
9.451729803565581e-17,4.531890036853213e-07
3.229384238483228e-16,2.3433978419779564e-07
3.100061360189937e-15,3.982926879166567e-07
2.53262155260378e-14,2.697444022399308e-06
1.9243669894863083e-15,9.172502096391877e-07
1.347520358745573e-15,3.756892977077638e-07
1.0054610452797306e-14,4.22569181142154e-06
1.5652306606361775e-14,9.35351224514971e-06
1.8446946429815523e-16,1.0122314549233576e-07
3.3947649906878844e-16,8.488080336634654e-08
2.7717688068231817e-15,9.399988912422175e-08
3.4094097474670465e-16,3.8737204393685937e-07
1.0785282365585607e-14,1.2913164197359905e-06
3.534511406003805e-14,2.8844998944932158e-06
2.401943810955713e-15,8.243677860643536e-07
1.5257464514908457e-14,5.81001932618115e-06
1.0697973555068976e-14,6.641057052707711e-06
7.051702840849001e-15,1.1111596717098509e-06
9.181145201308506e-15,3.693631400727581e-06
1.1195416864005153e-14,1.3616944406559029e-05
7.280697489735874e-17,3.551349184118644e-09
2.6650575210875486e-16,3.183104166796763e-07
1.8919071596401876e-14,2.6666541305239022e-06
3.216420788064915e-16,1.436766121153824e-07
6.680626781258199e-16,6.490658658288958e-08
7.467491600159119e-16,5.246306086061458e-08
1.2414117205990064e-15,1.0812148264510011e-07
9.09539326543592e-15,2.0089943001770617e-05
2.9115505548585474e-14,6.9614316621408495e-06
8.383281190701316e-16,3.564521651845907e-07
1.6832571888296097e-16,3.6727588406397877e-07
6.46218763011547e-15,1.7504561895141723e-05
6.9894533893662435e-15,1.80521140099643e-05
2.488003687330358e-15,3.600795671700092e-07
5.211971316002403e-16,3.295349367755687e-08
2.2948720947358055e-14,5.117468029505055e-06
1.7714249587451388e-15,6.843253666008265e-07
1.4040036675046527e-16,6.276098096425424e-07
3.7724189365097655e-15,4.0368501868236785e-05
2.4503792364449543e-14,6.021864876467842e-06
3.706007006828975e-16,1.1199542330316885e-07
2.565447670961641e-14,3.059650499321624e-06
4.627804147684521e-16,1.1145999284009516e-07
2.6809452376752884e-16,1.6741385299356825e-06
1.0284709266218994e-14,3.29975501304176e-06
