tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters
1553.142085322311,1021.8911538205812,124.2849713720534,0.19422138761744018,25.821154254293006,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1501.2928192286818,5610.2825482477665,104.96574958723795,0.07016617586334997,96.19359144760593,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1500.0733448529836,1105.0011637804073,548.0639351658556,0.06168258505455579,19.082972245707182,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2476.2866319447494,1174.602604636464,3645.647123908743,0.19596624484001526,74.43864709732135,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2989.9274178775195,4072.5157798400032,8142.686627338676,0.17897946121037933,96.44510174111218,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2981.326002285084,1000.1120091717003,1325.4328369709037,0.15359628501625425,66.18836347555914,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1710.2070502685292,2699.5359775243387,3232.7623437492184,0.06186173706477957,13.496666150971407,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.329336420659,2722.219882699358,576.3685590235709,0.14519476796051747,96.94877867897664,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2330.590342149822,3367.2037057430907,926.3949005071754,0.01730521948417124,10.635243297586285,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2220.346491863023,1675.2376011864053,2212.8299611972516,0.016682472079564636,11.599110661461722,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
