sfh.sfr,stellar.m_star
1.809690063053471e-14,1.180993905046015e-06
2.4838374066626035e-15,6.534595393542704e-07
5.163720466430306e-15,3.335077613531245e-05
3.4610918809249868e-15,3.214608441579885e-06
2.9343855518141524e-16,1.110491383039934e-07
6.8624342950078584e-15,2.3480217040810727e-05
3.344020654690803e-16,4.278589833702073e-08
1.1945065768804988e-14,1.5332784659595758e-06
1.9395896744075686e-14,5.817554864822548e-06
2.4625149081737244e-16,1.0266421026807502e-07
1.1429257834450275e-15,4.41108449834897e-07
2.4390973435572965e-14,3.9924973381237725e-06
1.329092927842072e-15,3.4152092500875813e-06
2.316943228538073e-14,3.943358788617326e-06
8.26517804293105e-16,3.3643593837322135e-07
2.3465793905608754e-15,2.5041788280729083e-07
1.9230697500771828e-16,5.859737415809058e-08
9.614647175719187e-17,1.5277446147527131e-06
3.939215803355425e-15,1.6735885204922598e-06
1.2358776998318399e-14,4.763376341383413e-06
2.011657833641834e-15,1.0554401718030718e-05
2.9540164315852622e-15,1.2628792021018301e-05
5.383440224486762e-17,3.5930349249980812e-09
1.9997711670166116e-15,1.0691010059202128e-06
1.0200654508418882e-15,3.822503661834589e-07
1.2466947984396984e-14,2.1343748051150087e-06
1.0665001597539714e-14,2.7005003684829357e-06
1.720758781216803e-14,1.6798207953564126e-05
1.1854044017228035e-15,3.4880453234699844e-06
1.92992049382431e-14,5.351332261037358e-06
1.956532160822308e-15,7.111218647017825e-07
1.2749733926930757e-14,3.6718143865420617e-06
1.903237794678744e-14,7.022520921089321e-06
2.6843924893129586e-14,3.947656142995971e-06
9.848211673538526e-15,6.7725689271786365e-06
2.7996968167740888e-14,2.4005656409237693e-06
1.6323474979131906e-15,8.128783388911924e-08
6.303052359924304e-16,1.4456236151028312e-07
2.1694346724977894e-15,2.4758567112011044e-05
2.918258090232972e-14,1.0996569932838333e-06
3.181239057597305e-15,6.424099177770226e-06
1.8754799334753005e-14,4.975128871481808e-06
3.56132183420306e-16,1.2325553268680356e-07
8.487752552001423e-15,3.0916373416576046e-06
6.65842684524062e-16,4.5764631683581363e-07
1.1253652934570704e-16,1.7074100159388354e-08
1.7057373868546713e-14,3.881344545086348e-06
1.7499562293558037e-14,8.657822558929212e-06
4.254456466983886e-16,1.1210418791726091e-07
5.807735629974029e-15,5.889936407322116e-07
2.2334285088978926e-15,9.10934453538747e-07
7.073397653066725e-16,6.591412502221574e-07
9.974596745242696e-16,7.064079077324667e-06
7.922674036415211e-16,3.3822452078171454e-07
5.70186774013306e-15,2.11057076678913e-06
7.778491218128083e-16,8.651452251709292e-08
2.9546113229254735e-16,5.075734544083048e-07
2.624798861546212e-14,2.697697218922168e-06
2.128163168508303e-14,4.865449399252842e-06
2.9340269527540855e-16,6.51013607679532e-07
2.6958282702037028e-14,2.5305331903700323e-06
2.5328711776114594e-14,1.3279521065511833e-06
5.3782024560696426e-15,5.004898562469164e-06
2.5101736892954218e-14,2.944960705659512e-06
1.4323377431377504e-15,1.2092058056529997e-06
1.4649724802157685e-16,1.0321811723166644e-07
4.6404641609211494e-15,1.4314622483819554e-06
1.5015629304417274e-14,7.839310756070933e-06
1.8155130720081655e-14,2.4131774389413096e-06
5.246611779843822e-15,2.840930455310923e-05
1.207822106459072e-15,2.415790856731103e-07
4.2892077254662465e-15,2.0349669771512104e-05
1.2452760691309567e-14,4.551656458406871e-06
3.549984454393108e-15,4.819735588490703e-06
3.0043756082415945e-15,1.9487956718902523e-06
5.007389361951791e-16,1.3302924455497882e-07
4.899768463510287e-14,1.7321545994388311e-06
1.1534770496765932e-14,2.52105355894324e-06
1.553240147821961e-14,1.9344822323908475e-06
1.5088104158632193e-16,7.074539983767856e-08
8.388445451853692e-15,2.7513715884442246e-06
2.7359790928593692e-15,6.633136841897501e-07
6.497185296179268e-16,1.9736226470308472e-07
8.555854707943491e-16,4.764435494964724e-07
1.835083194310026e-16,5.594077616858713e-08
1.129958995372794e-14,4.943619372258279e-06
3.8255119363745355e-15,6.545540587403484e-07
3.495396476356778e-15,1.9754372412902526e-05
2.021309454170675e-16,3.753186751822637e-07
1.290067677448248e-16,7.319646509896988e-08
1.3469437673607158e-14,2.1397570027938388e-06
2.028213180808832e-15,3.747940309061247e-07
2.4061566416648697e-14,2.3472540250192907e-06
6.0624050496282855e-15,1.73768170901204e-06
1.0570499737833142e-14,6.121471994250428e-06
1.2568953802607271e-14,8.416017659644934e-06
1.1058906656386665e-14,4.892046596650089e-06
1.4233548691578987e-15,6.556203285326357e-07
2.823220686691704e-16,6.023312215288968e-07
1.3836888946546199e-14,3.000956350197844e-06
2.8166920147184233e-15,8.108089218794645e-07
8.068488246570377e-15,4.755892643250868e-06
1.75943274864057e-14,3.460766670312276e-06
9.634804162746633e-15,4.1282978431468245e-06
6.476704783876615e-16,1.7734222705124608e-07
2.4612789696122913e-15,1.3138776874004988e-05
7.731715785406918e-16,1.0008560883046779e-05
1.9162003336716458e-16,1.0265396125465907e-06
1.0117802055702087e-14,3.508551078859382e-06
1.5951399360243553e-16,7.271028898987623e-08
6.115475770259709e-16,3.912458628393726e-08
