tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,E_BV_lines,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,f_esc,f_dust,lines_width,emission,redshift,filters,weights,MAP
2987.4808456956516,9290.678439163528,2544.065487886348,0.03211327664578592,31.987257605828322,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,6.320474085140792e-79,0.0
2380.3692990873574,1007.6112399737649,172.37415003180104,0.16375379340092505,10.03875033505017,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.1484505089914101e-82,0.0
1792.5719508991824,1052.8732393160099,1171.7934721380807,0.1820834001406644,17.896003913286673,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.791456732213649e-82,0.0
2870.8022676325622,2347.3027121696114,9940.949604864356,0.06065068731923087,24.956729649565094,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.7355305197771433e-78,0.0
1640.397678352471,1911.394537554901,7457.168499940831,0.17188125901917525,86.59851493981522,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.8135095315261716e-83,0.0
2789.33111734819,7958.62707035506,516.9517931950159,0.1999441981143134,99.66259826148928,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.1155467201234839e-88,0.0
2998.4062708567353,7545.518812696198,1520.8092967383327,0.06327127272791461,95.87605413042316,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.43619361750568e-78,0.0
1737.8963219005777,1530.1399000129768,957.1117031852482,0.1654404288834159,46.586767758914924,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,6.152426819107132e-83,0.0
1698.4004313821397,7091.165072991806,3911.9882954954555,0.059410188260280744,58.746287749725994,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,8.116387039356707e-78,0.0
2895.5501205696637,4307.677517713981,1136.7031334860658,0.19784445278978235,48.09938845638458,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.902399595274974e-85,0.0
