tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,E_BV_lines,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,zgas,ne,f_esc,f_dust,lines_width,emission,redshift,filters,weights,MAP
2618.805124596635,1618.9380421047044,5908.532272046095,0.0012472787931552265,85.0340679402574,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.0,0.0
2427.816473660919,8657.215763271914,9419.7902910007,0.0175446316336329,19.91606559920662,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.0,0.0
2885.7761736163043,1137.92339757009,698.466630359575,0.01563378538999699,10.06975320352862,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.0,0.0
2819.843373816117,9399.218656205865,9999.47839434844,9.925469157867628e-05,23.262238007678775,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.0,0.0
2208.4426722549074,2143.706939885611,9970.178335268803,7.910087937434973e-08,50.05177644787914,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.0,0.0
2041.799159691484,1251.1803880947573,4907.4687576508995,0.027607247960309805,93.44121128130949,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.0,0.0
1744.432886912766,1000.4065621409591,719.7503435801009,5.384001585070908e-05,85.08066183875522,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,7.763570294323134e-181,0.0
2908.831767621957,3977.8011074964443,7606.16099613378,0.0009415110633660684,99.88511887414612,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.0,0.0
1503.657881584715,4162.035531220706,9384.04004855254,0.17070215211481904,99.85785989806004,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.0,0.0
1583.6143029770408,2952.9588220088317,9987.947161328926,0.18768622686142217,77.28984002163682,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.0,0.0
