tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters,weights,MAP
2434.2084890620963,1090.1155019767284,5300.389570447634,0.04418668402611625,59.732294418553224,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0007814275708569374,0.0
1524.3849131870893,1210.6711690583197,9712.284631510342,0.0008083556707076944,10.0001742830853,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,4.7622677124731294e-08,0.0
2260.45643558158,4770.107179523927,124.5340104054485,0.06392689634197607,37.9225320215516,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0003858575061995032,0.0
1500.077182622583,9753.92192537361,7615.13032087123,0.0281584289408911,99.0427279542218,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,7.973739473193195e-07,0.0
2278.7672611088437,6345.129220311823,198.31763017782214,0.012039131875776071,99.28881975141903,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,4.8820690685524094e-11,0.0
2589.8914713422114,8016.4973204721555,3928.141053534562,0.18783610817237695,18.956638183742,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,1.5898432765741515e-44,0.0
2590.810467085559,1669.5074737207633,2626.6643567518813,0.18172511993457838,10.164425579634084,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,2.7835292749181084e-36,0.0
1501.696108232629,2592.141648533563,4077.465266695788,0.18601839243377602,10.82849411855166,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,4.180207603608924e-40,0.0
1532.3177572036739,8540.405450099379,7037.201607402678,0.02524221450717304,94.37260001329776,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0006561701421298581,0.0
2529.6368402255353,9243.056766257847,8620.744084136648,0.16287379012852735,11.725011677559053,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0014231160400250862,0.0
2989.0145184195435,2079.706437403779,1421.9041605882067,0.004232634588716561,25.458094578152384,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.00012014453997023291,0.0
