tau_main,age_main,tau_burst,f_burst,age_burst,E_BV_lines,sfr_A,normalise,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,zgas,ne,f_esc,f_dust,lines_width,emission,redshift,filters,weights,MAP
2999.992388028244,8601.742829712513,9988.214376811131,0.11528014229719813,84.07165738940385,0.00012129481543254883,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,10.0,2,0.02,10,-2.5,0.004,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,2.522493462225394e-08,0.0
2436.8961755512805,4258.873524985981,601.2091376613007,0.19993590197060657,73.81829779209785,0.022906086647048518,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-1.5,0.022,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,0.00012449740473769667,0.0
2999.571419010928,1029.969186135946,2230.434712149393,0.12382279625630288,50.090007163730114,1.1004146687199068e-06,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,1.77,25.0,2,0.02,10,-3.5,0.004,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,1.4486656048356584e-08,0.0
2572.8969664208003,2103.0424592958025,7263.099404913744,0.170895341174792,38.425944634590344,1.412843329772644,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-2.5,0.022,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,0.001134612498657395,0.0
2664.503655281446,5840.492758719665,1595.610830021611,0.032019128463459945,28.08529426045699,0.9549869995226086,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-3.5,0.014,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,0.0005993148109768163,0.0
2867.5432512814486,8489.846877871809,7176.002135461065,0.02847774298492939,42.607202032113456,1.4890874914481287,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-1.5,0.008,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,0.0026427233677750145,0.0
1900.2745134974707,1009.3029634130107,1874.333500725871,2.4555591591868264e-05,99.03246481092056,1.7760095466073165,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,1.12,10.0,2,0.02,10,-1.5,0.007,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,2.31716681794082e-06,0.0
2999.944876054291,1003.9991890983365,999.276447517519,0.07490671220276957,71.3996521835378,1.6873056055195632,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,5.0,2,0.02,10,-3.5,0.004,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,2.1787434804987052e-06,0.0
1500.6009997874714,2525.438719514599,3541.6085124599194,0.00942859973332208,59.501326443857096,0.18431087641348265,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-1.5,0.011,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,0.00044854268561861707,0.0
2981.8044415726636,1546.2616174446266,102.6541550961283,0.0006023836898678969,13.229118714455907,0.9566418307272522,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,1.77,25.0,2,0.02,10,-3.5,0.004,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,2.599655111157765e-06,0.0
